stage,problem,group,config,arm,round,agent,labels,state_hash_before,vote,status
simple,S3,,00100,U,,322,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,4.0,00100,U,3.0,115,"['CONTINUE', 'PIVOT']",0504eba56b405b3dfb0bdacf64444914271e852bdb8e73649025046270c2101a,CONTINUE,ok
simple,S1,,11011,E,,278,"['A', 'B']",,A,ok
simple,S3,,00100,E,,48,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,8.0,11011,E,4.0,330,"['CONTINUE', 'PIVOT']",ca4bde9dda33aaf11adbf552714194ca87ff15729709fe9d9ccff28403010f8e,CONTINUE,ok
simple,S3,,00100,U,,58,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S2,,00100,U,,344,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,19.0,neutral,B,4.0,80,"['CONTINUE', 'PIVOT']",ec4659182607ce6ea4a7e387ec3fb6f57b384f61f2fd64a48357246c078b56ce,CONTINUE,ok
complex,C2,18.0,00100,E,5.0,8,"['APPROVE', 'REJECT']",51db9dd8fb5530311cfcd0cf810d98b939553d0ae5bbdb466d82fd2271848843,APPROVE,ok
simple,S3,,11011,E,,239,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S2,,11011,E,,310,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C1,11.0,00100,E,4.0,195,"['PACKAGE_A', 'PACKAGE_B']",c49e1221b4b533f0462b07bf1ba5c42fe63da82681a2544cf7845722240b7f26,PACKAGE_B,ok
complex,C2,8.0,00100,U,2.0,393,"['APPROVE', 'REJECT']",5b1b9e9ab4e59d58d5bb5f0646dda875f5ef164004e48d9375f21927ce15c7bb,APPROVE,ok
complex,C2,4.0,neutral,B,2.0,305,"['APPROVE', 'REJECT']",a7de44ffd8a78bd64a6d40aa906067ae4dcd7e29af384f12a26bf137f7271ceb,APPROVE,ok
simple,S2,,11011,U,,115,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,18.0,11011,E,5.0,225,"['APPROVE', 'REJECT']",2037c11133754a113e9915d35c8db80868b8a78315f112a21f3ba45c3b1674bf,REJECT,ok
complex,C2,10.0,00100,U,4.0,52,"['APPROVE', 'REJECT']",69959104a2aa60ebb110deb8ad1433641508e987fd711e6ce1e69e11e68a8b6c,APPROVE,ok
simple,S1,,00100,E,,310,"['A', 'B']",,A,ok
simple,S1,,00100,E,,384,"['A', 'B']",,A,ok
complex,C3,20.0,neutral,B,4.0,149,"['CONTINUE', 'PIVOT']",6768f2ae2210ee2c244be6a3f12ea389bbd7ab932ebdbdccbc6ba6aa36900fb7,CONTINUE,ok
complex,C2,8.0,00100,U,1.0,168,"['APPROVE', 'REJECT']",3d2c1a8ebfbfa448a0e0ef7df13a5652e78a80aecc07924bac8a597adf760ffc,APPROVE,ok
complex,C2,11.0,00100,E,3.0,363,"['APPROVE', 'REJECT']",907c64adb720fd5ad7facf716fea3b62334467395609f04752a670c872eb3730,APPROVE,ok
complex,C2,6.0,neutral,B,5.0,81,"['APPROVE', 'REJECT']",4f452471cee3bb059421676608b5c6da9d425c123718b3915313f127ee8e6788,APPROVE,ok
simple,S2,,11011,E,,265,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,FORMAL_REPORT,ok
complex,C3,10.0,11011,U,4.0,239,"['CONTINUE', 'PIVOT']",2a8704579a2f026aca4f22fbe02b845977f8da66c7a699342516b540e716370f,CONTINUE,ok
complex,C2,16.0,11011,U,3.0,120,"['APPROVE', 'REJECT']",c12967db2923bba0d313e0258740274da19c25d0c599bcd76c4450eafdc2e274,APPROVE,ok
complex,C3,19.0,11011,E,6.0,339,"['CONTINUE', 'PIVOT']",c0fd37f830c98f7218bf541b83dd231f98d5598f09f65db4bfd996881d7ba1ac,CONTINUE,ok
simple,S1,,11011,E,,151,"['A', 'B']",,A,ok
complex,C1,6.0,11011,U,1.0,219,"['PACKAGE_A', 'PACKAGE_B']",84c359c0e6028c7bab517da48aef756659d4b6f5bcbd3be4583af173368b7bab,PACKAGE_B,ok
simple,S2,,11011,E,,269,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S3,,00100,E,,242,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,15.0,11011,E,3.0,190,"['APPROVE', 'REJECT']",d06a33f1acae1dc545c7c36bd4000bd40c708aa9c643301cc2f1cc3452e4ffa5,APPROVE,ok
complex,C3,1.0,11011,U,4.0,43,"['CONTINUE', 'PIVOT']",c7ee07bb58fc4ec549e86b5d4a53163c496f5a93c824427cfa6fd82f3d45a516,CONTINUE,ok
complex,C3,8.0,11011,E,3.0,248,"['CONTINUE', 'PIVOT']",77e5bef86b326b3991224e6b47e47f772c5f1d1dbad453c426b4faee4b2a0098,CONTINUE,ok
simple,S3,,00100,U,,116,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,9.0,00100,U,2.0,167,"['CONTINUE', 'PIVOT']",60afff738c2f9c85ac27f4b9b2e9a0a8a6031e3ac12da4c3bcc5b61b8b1ee3e4,CONTINUE,ok
simple,S3,,00100,E,,140,"['ADOPT', 'WAIT']",,WAIT,ok
simple,S3,,11011,E,,90,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,10.0,11011,U,3.0,219,"['CONTINUE', 'PIVOT']",8fe4e2c26b038822be87ee6563146dfd990ab900d81422e1c4cc5a5d0ac21bce,CONTINUE,ok
complex,C2,2.0,11011,U,3.0,234,"['APPROVE', 'REJECT']",d3daec4252aa0536000c2bfdedc723fb49451e861273d4bae789a3efbc2e2dc6,REJECT,ok
simple,S2,,11011,E,,283,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,00100,U,,360,"['A', 'B']",,A,ok
simple,S2,,00100,E,,364,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,12.0,11011,U,3.0,357,"['APPROVE', 'REJECT']",edc11e87981365141dcc8c4d7ed22fb71e274e718afadb91a724d94758f5dc20,APPROVE,ok
simple,S2,,11011,E,,75,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,7.0,00100,E,1.0,163,"['CONTINUE', 'PIVOT']",0cff819337e33ad88ff4f1d90c442d4b965fcf4811e4691ed27612f6c5f5ca29,CONTINUE,ok
simple,S3,,00100,E,,126,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,18.0,11011,E,1.0,49,"['CONTINUE', 'PIVOT']",cc37068a00c0b78d4c16cd5e4c33962dc41f5cfef4dcc694820c45d3293ab722,CONTINUE,ok
simple,S1,,11011,E,,264,"['A', 'B']",,A,ok
complex,C2,4.0,00100,E,5.0,305,"['APPROVE', 'REJECT']",b471f856b66a827364051f201a96ec0f03f7407c63fe167feb60aaf0e7108b10,APPROVE,ok
complex,C1,9.0,00100,U,1.0,123,"['PACKAGE_A', 'PACKAGE_B']",182fd0a00aca4e791ecf8c4ef6bdccd5bd65c9cd68020564e941f0dbc88eff52,PACKAGE_A,ok
complex,C3,10.0,00100,U,4.0,186,"['CONTINUE', 'PIVOT']",b48c2d00e78bd711bde2dd585b9799713fcd77f21be2d6808a6ec48d5b937c21,CONTINUE,ok
simple,S3,,00100,E,,221,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,14.0,11011,U,3.0,70,"['CONTINUE', 'PIVOT']",e4c9fe2b262d05816b7f752f71f83a25faab421dfa2d1179dcca5b9f6095e29d,CONTINUE,ok
complex,C1,15.0,11011,E,1.0,83,"['PACKAGE_A', 'PACKAGE_B']",16dff688942db668a20bd1cc7798282301bc18064618df9339f6fef3c3b440ca,PACKAGE_B,ok
simple,S3,,11011,U,,87,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,13.0,00100,E,4.0,341,"['CONTINUE', 'PIVOT']",78c2d90944469c98ff9dbc18546d1f56dd8854bb3599e8d9231eb1bbc3b975cf,CONTINUE,ok
complex,C1,1.0,00100,U,1.0,140,"['PACKAGE_A', 'PACKAGE_B']",2e37cfce510a502a5d18389e9f68e0b8d70aa7b4a4486bc6a146ce4e85483012,PACKAGE_A,ok
complex,C2,18.0,11011,E,2.0,162,"['APPROVE', 'REJECT']",f494b81e028087a2a5d878b8b63131f5c42521cc5a513402c350cef56a180b56,APPROVE,ok
complex,C3,9.0,00100,E,4.0,167,"['CONTINUE', 'PIVOT']",4ef5436a31a548eee1137bc44f8316bccd6b562f3db56fe7574b3447afbb4609,CONTINUE,ok
simple,S2,,11011,U,,311,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,18.0,11011,U,6.0,307,"['CONTINUE', 'PIVOT']",4e40b7495f3ec0c1df17ba3901d5658a9510ea7ac2ba26091a977b7e52aade74,CONTINUE,ok
complex,C2,6.0,00100,E,1.0,166,"['APPROVE', 'REJECT']",f0e7d019a5a7cace48839cbc30829377291cb94b49b6a52403a129b9c71f5a5f,APPROVE,ok
simple,S2,,00100,U,,222,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,E,,191,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,10.0,00100,E,3.0,187,"['APPROVE', 'REJECT']",3b3f77862fa2c316e4cb31148bca5027fbd95c6db29746633b989aa48a0754a1,APPROVE,ok
complex,C2,12.0,neutral,B,1.0,237,"['APPROVE', 'REJECT']",b4eb6ec2585d2a28663441963b35551ec6c741c3fbd3d1a6e95c9a469c23303b,APPROVE,ok
simple,S2,,00100,U,,257,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,U,,237,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C1,15.0,neutral,B,1.0,262,"['PACKAGE_A', 'PACKAGE_B']",16dff688942db668a20bd1cc7798282301bc18064618df9339f6fef3c3b440ca,PACKAGE_B,ok
simple,S1,,11011,U,,186,"['A', 'B']",,A,ok
complex,C2,13.0,11011,E,4.0,169,"['APPROVE', 'REJECT']",98856ac753b713b4ff87717c07cae55d277d7b9f2f38a551c93568fbb672ac64,APPROVE,ok
complex,C3,16.0,00100,E,2.0,278,"['CONTINUE', 'PIVOT']",60d39ce253b1637fc22fb9b36f1c50a81ddd704d346a1c29b7fd26cfa9918565,CONTINUE,ok
simple,S3,,00100,U,,105,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,00100,E,,268,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S1,,11011,U,,312,"['A', 'B']",,A,ok
simple,S3,,00100,U,,191,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,9.0,00100,E,6.0,65,"['CONTINUE', 'PIVOT']",ba59914f1663c29dbed97a193d8d0310a7328392268ea6f86fdfa55e93d74c2e,CONTINUE,ok
complex,C2,18.0,00100,U,2.0,213,"['APPROVE', 'REJECT']",4b227ceff33f6768d3f00df0a3dd1a7052acd1e090a8e3573caeeca7e5cbbd27,APPROVE,ok
simple,S1,,11011,E,,170,"['A', 'B']",,A,ok
complex,C1,7.0,00100,E,2.0,91,"['PACKAGE_A', 'PACKAGE_B']",2a8272c636a504b10c52551eaee8305bd3b53f813df36bac5d27d6313c933742,PACKAGE_B,ok
complex,C2,10.0,00100,U,5.0,343,"['APPROVE', 'REJECT']",34669791d0bb3560199372fe379964c03eb1bdbda7a96bab7b6ac3aa49af85d9,APPROVE,ok
complex,C1,7.0,neutral,B,1.0,56,"['PACKAGE_A', 'PACKAGE_B']",de6ed2ea2dd969e994a2cabb073f363739650cc0b55ade2e12d949fd1775f964,PACKAGE_B,ok
complex,C2,17.0,11011,E,4.0,68,"['APPROVE', 'REJECT']",24ba3e872c780b301d5d297bfa4dcca6a4dff8d64d0e0d9b95fa3ac030d5ad26,APPROVE,ok
simple,S3,,00100,U,,213,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,11011,U,,235,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,16.0,11011,E,3.0,159,"['APPROVE', 'REJECT']",e5043dc807c272ffdeef4315f0a1b75c9f86e1557000253ea8476c9b3cfb0251,APPROVE,ok
simple,S3,,11011,U,,23,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,11011,U,,154,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,8.0,00100,U,4.0,101,"['APPROVE', 'REJECT']",2d5c31aa42511fc73994647a9a11c4f76c0366c52392616fc0d27088704fa1c3,APPROVE,ok
complex,C2,8.0,11011,E,1.0,393,"['APPROVE', 'REJECT']",3d2c1a8ebfbfa448a0e0ef7df13a5652e78a80aecc07924bac8a597adf760ffc,APPROVE,ok
complex,C1,13.0,00100,E,1.0,238,"['PACKAGE_A', 'PACKAGE_B']",0e9773317c9f4ba840cc807bfb7d2bbe5ac1282e2dbf26ef13e81fb5ede4ca5e,PACKAGE_A,ok
complex,C2,8.0,00100,E,5.0,168,"['APPROVE', 'REJECT']",6d821f32ff8e6d682a4770d083560c2f976ddabc5d3df0596e888747ea587e1b,APPROVE,ok
simple,S1,,11011,U,,286,"['A', 'B']",,A,ok
simple,S2,,00100,E,,51,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,E,,240,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,U,,110,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,00100,E,,86,"['A', 'B']",,A,ok
simple,S3,,00100,U,,395,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,15.0,11011,E,4.0,359,"['CONTINUE', 'PIVOT']",2b2b365b776fe951ff5cde12e1f6bd519f520142e37ffe71e473e5a184400fdc,CONTINUE,ok
complex,C2,3.0,11011,U,4.0,260,"['APPROVE', 'REJECT']",f36484b88e7b98f6c4c2a366e6cc2d22fc6d210e8ef6288e28e3142523ed94c9,APPROVE,ok
simple,S2,,11011,E,,212,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,7.0,00100,U,5.0,163,"['CONTINUE', 'PIVOT']",f3e6278366c7b8317dfd1766e86ddb353d07b323e9326ed3aba18d22c990e257,CONTINUE,ok
complex,C2,13.0,00100,U,5.0,215,"['APPROVE', 'REJECT']",7ed0a7c28d91b9607dfc40e3b527f9113b597661c7e116666379f05d5245f549,APPROVE,ok
simple,S1,,00100,U,,268,"['A', 'B']",,A,ok
simple,S3,,11011,E,,100,"['ADOPT', 'WAIT']",,WAIT,ok
complex,C2,9.0,00100,E,2.0,289,"['APPROVE', 'REJECT']",6cfa5bc3f2ccc28d543900756ba957bf5ba71d6ab7570d1e234f189903abcf78,APPROVE,ok
complex,C2,9.0,neutral,B,1.0,163,"['APPROVE', 'REJECT']",3f7943e0bd4df53f70fcbf9510c86086c892fb55c26f9912260aceeda718eeb5,APPROVE,ok
complex,C2,15.0,neutral,B,1.0,190,"['APPROVE', 'REJECT']",2195a2a2973df87cbedd3fb76cdaf1a68f4534b34f8ee6c93bd7e4d4af384a1a,APPROVE,ok
simple,S2,,11011,E,,359,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,15.0,00100,U,2.0,359,"['CONTINUE', 'PIVOT']",9d235ec73b7c65201dd909262c5d92b71b3428545ea2d0bcf933ff7a6ced8571,CONTINUE,ok
simple,S2,,11011,U,,112,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,1.0,00100,E,5.0,146,"['APPROVE', 'REJECT']",9c991e4e0fa0c0694a9b7fa690cbd30b9ad5d1a18e6bd4c037d8be301c67422b,APPROVE,ok
simple,S2,,11011,E,,96,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C1,15.0,00100,E,1.0,224,"['PACKAGE_A', 'PACKAGE_B']",16dff688942db668a20bd1cc7798282301bc18064618df9339f6fef3c3b440ca,PACKAGE_B,ok
simple,S2,,00100,U,,280,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,14.0,11011,E,3.0,70,"['CONTINUE', 'PIVOT']",7f61072bfd27be5592032c213091ee21ea66e0567d03ada2757719a0cc2d0c61,CONTINUE,ok
complex,C3,5.0,11011,U,1.0,205,"['CONTINUE', 'PIVOT']",1016a6c10a177cfdc22813ae27ee2e0279775f5d55c7b5c6888be6685b525a82,CONTINUE,ok
complex,C2,7.0,11011,U,2.0,47,"['APPROVE', 'REJECT']",c9063f23a9845db064eb7a5af909838780a569ff5b9b91a39775d2718e847481,APPROVE,ok
complex,C2,3.0,00100,U,4.0,133,"['APPROVE', 'REJECT']",63907f52e4cb5e5e28a498863ed23a7203acc7c372ee3cc4ed6b27f19ce67b5d,APPROVE,ok
complex,C2,19.0,00100,E,5.0,84,"['APPROVE', 'REJECT']",896f5673d60fab052c1774e4cdb9be8baf467283def8b1ab6079eac761eee50d,APPROVE,ok
complex,C2,8.0,00100,E,2.0,393,"['APPROVE', 'REJECT']",938c7e88ddd5fef1481d0dd4d26639a9fd83ec4eb6093c21d89f66f22558f4b0,APPROVE,ok
complex,C2,2.0,neutral,B,2.0,173,"['APPROVE', 'REJECT']",800d3ebee3f9ce5173333bc90922b081c7989f558912adbe73c895b8b739e749,APPROVE,ok
complex,C2,18.0,00100,U,5.0,162,"['APPROVE', 'REJECT']",95fbde76f8c71c66ec9b3d3c67bc57a22fc1d17bc694b8d8d2931ad5cefb48ec,APPROVE,ok
complex,C2,1.0,neutral,B,2.0,97,"['APPROVE', 'REJECT']",b932f0f36cbcc37bef02f71e2deb3ec77eac98ca93558cee7f09bd53a6c2fd56,APPROVE,ok
complex,C3,4.0,00100,U,6.0,159,"['CONTINUE', 'PIVOT']",299130fbc3814d5ff515928d46cd5801b32f949ec0a9b5abd22b11c4cd1348d8,CONTINUE,ok
complex,C3,1.0,neutral,B,6.0,356,"['CONTINUE', 'PIVOT']",03aa2262419697260094803e5db3ca0d596e5c19708b52f04384f53ebc0643d5,CONTINUE,ok
simple,S2,,00100,E,,250,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S1,,11011,E,,370,"['A', 'B']",,A,ok
complex,C3,15.0,00100,E,5.0,56,"['CONTINUE', 'PIVOT']",f7580f8d15dba1be7f33d543666a76e8042c96a74916bd4b935bd87b1260ec76,CONTINUE,ok
simple,S3,,00100,U,,381,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S2,,11011,U,,370,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,11011,E,,351,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,11011,U,,65,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,00100,U,,1,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,17.0,11011,E,5.0,313,"['APPROVE', 'REJECT']",cce30a4bb7615a795717276b1272d28ee260ededaad5c50b6deda9f56b0cee62,APPROVE,ok
simple,S1,,11011,U,,326,"['A', 'B']",,A,ok
simple,S1,,00100,U,,263,"['A', 'B']",,A,ok
complex,C2,10.0,11011,E,1.0,233,"['APPROVE', 'REJECT']",a2234cc3ce1e82948e16396ff4ac08f04e36f524a87ec0b585db14166077f50b,APPROVE,ok
complex,C3,2.0,neutral,B,5.0,17,"['CONTINUE', 'PIVOT']",3158e08dd1e89a944b36fee6659a4eb5e7e679a94aa403b108479aa8d55ef085,CONTINUE,ok
complex,C2,6.0,neutral,B,5.0,219,"['APPROVE', 'REJECT']",4f452471cee3bb059421676608b5c6da9d425c123718b3915313f127ee8e6788,APPROVE,ok
complex,C3,14.0,00100,E,5.0,310,"['CONTINUE', 'PIVOT']",6e88fa3789f60948125c0fae7dc3c7d127dae48b365208d84e841626d218d9ca,CONTINUE,ok
simple,S2,,11011,U,,365,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S3,,11011,E,,87,"['ADOPT', 'WAIT']",,WAIT,ok
simple,S2,,00100,E,,120,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C1,5.0,neutral,B,1.0,40,"['PACKAGE_A', 'PACKAGE_B']",d27b06b068727d36da3b7510fa41489ad1c3a0b553a3fbad639f99254b8893db,PACKAGE_B,ok
complex,C1,5.0,00100,E,4.0,349,"['PACKAGE_A', 'PACKAGE_B']",94ec30d41021426377a8f74db50e56c14a189c96ebba95445d1acd3fa7f0006e,PACKAGE_B,ok
complex,C2,12.0,11011,E,2.0,175,"['APPROVE', 'REJECT']",fe84b6a39bd6ba888214fec22abf6ef3179947344ce9768c1fa198451bdc1748,REJECT,ok
complex,C2,3.0,00100,U,1.0,260,"['APPROVE', 'REJECT']",c119a83f452c5f66bca1c575b3579e84db236d04a0328d8158fedb37ee2f68d7,APPROVE,ok
simple,S1,,00100,U,,242,"['A', 'B']",,A,ok
complex,C2,15.0,11011,E,2.0,236,"['APPROVE', 'REJECT']",ac817527692fef16e52c8cd256569fb5703079a1e1c5ca57bb1ae42c6f2a808e,APPROVE,ok
simple,S1,,11011,U,,363,"['A', 'B']",,A,ok
complex,C3,20.0,00100,E,5.0,358,"['CONTINUE', 'PIVOT']",212858f170c3eb2a6648924da63bb6ec2f4bcb3277a6cb53f73dcdf16513cf7c,CONTINUE,ok
complex,C2,6.0,00100,E,2.0,374,"['APPROVE', 'REJECT']",62b3886c063bd0bc68b1818077bbbfed37b0705418b905736524ac4c297e4455,APPROVE,ok
simple,S2,,00100,U,,327,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,6.0,neutral,B,1.0,188,"['CONTINUE', 'PIVOT']",56dfed8e0e1297e01f0dee08aa5f865ce5ed6c52a10af097290f81bd809f1e4a,CONTINUE,ok
complex,C1,4.0,neutral,B,1.0,197,"['PACKAGE_A', 'PACKAGE_B']",238a59f6a817d52f9bb4d7d14a5a630db451f3559951c2b3d89d02e2a29d3e03,PACKAGE_B,ok
complex,C2,8.0,11011,U,5.0,288,"['APPROVE', 'REJECT']",8a858f886692f218e147c3e81c6610c766699427ad7856a39e9a394e4a6cead1,APPROVE,ok
simple,S2,,11011,U,,267,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C3,4.0,neutral,B,2.0,115,"['CONTINUE', 'PIVOT']",12aade3547650ea25acdd61696e293883b1793e4295cdfaf5f860b09a924bddc,CONTINUE,ok
simple,S2,,11011,U,,41,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,12.0,neutral,B,1.0,71,"['APPROVE', 'REJECT']",b4eb6ec2585d2a28663441963b35551ec6c741c3fbd3d1a6e95c9a469c23303b,APPROVE,ok
simple,S3,,00100,E,,252,"['ADOPT', 'WAIT']",,ADOPT,ok
simple,S3,,00100,E,,43,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C2,20.0,11011,U,3.0,246,"['APPROVE', 'REJECT']",906fd721d99e2b5202ac7117b0388dc59e92af8cf9b2216cbcd19d1947ebc775,REJECT,ok
complex,C1,5.0,00100,E,5.0,243,"['PACKAGE_A', 'PACKAGE_B']",79a425f58954942b31cc01f4e99ebd1e28f568e08a53fb288c6c8719310247a3,PACKAGE_A,ok
complex,C1,18.0,11011,U,1.0,138,"['PACKAGE_A', 'PACKAGE_B']",582cab306e0f0c0976073fd4cea078481b77ccea49c7f5e9e6a881aa8487747a,PACKAGE_B,ok
complex,C3,18.0,neutral,B,5.0,270,"['CONTINUE', 'PIVOT']",a4b8212f6ead85c1ec1f369c61547e25699d7e9c59c66d9bde16ccaf9c7446cf,CONTINUE,ok
complex,C2,4.0,11011,E,5.0,341,"['APPROVE', 'REJECT']",76f81073f30fbcdff3f567a513b75963719869aa62680a45da2e08478e66c5bb,APPROVE,ok
complex,C2,13.0,00100,E,5.0,384,"['APPROVE', 'REJECT']",74f507f7dbe990cd3847aed5b4aa2ed2b6d24ddd2a7dcdc5aec72e84bef5ada2,APPROVE,ok
complex,C2,20.0,11011,E,4.0,22,"['APPROVE', 'REJECT']",9524465006fdf2e8a27aab9b3c422005293fe47feaf6ad6fe735c15910e4a185,REJECT,ok
simple,S1,,11011,U,,63,"['A', 'B']",,A,ok
simple,S3,,11011,U,,42,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,15.0,neutral,B,6.0,345,"['CONTINUE', 'PIVOT']",22332390c19950859d122b3500101a2c0f4851fc7e34fafc07c77e7a78363826,CONTINUE,ok
complex,C3,7.0,00100,E,3.0,163,"['CONTINUE', 'PIVOT']",35f33228b8e0dd673b18c5add6874c26703a4d4926b67075e658530470440de1,CONTINUE,ok
simple,S3,,11011,U,,224,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,11.0,00100,U,5.0,158,"['CONTINUE', 'PIVOT']",1fc050618c3466d94edd0f1191bcb8703b551947254b03731eb006c9dd30e561,CONTINUE,ok
complex,C3,5.0,00100,U,5.0,283,"['CONTINUE', 'PIVOT']",6d929d6fd63dc436ef1dc9b635c7d41daac9cb17fb665793f764b16b1ebe63ea,CONTINUE,ok
complex,C3,10.0,11011,U,4.0,346,"['CONTINUE', 'PIVOT']",2a8704579a2f026aca4f22fbe02b845977f8da66c7a699342516b540e716370f,CONTINUE,ok
complex,C2,16.0,00100,U,1.0,14,"['APPROVE', 'REJECT']",d3c34a97fab6dbf12368627ae992f137874ee1538f062299a3798776f2d57e4f,APPROVE,ok
simple,S2,,00100,E,,281,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
simple,S2,,11011,E,,275,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
complex,C2,5.0,11011,E,3.0,304,"['APPROVE', 'REJECT']",bf5a922e7e4a4310c30ab1b7dedc462c3cbc757a9c070ed39f7b0d75119b00fd,APPROVE,ok
complex,C2,5.0,00100,E,1.0,304,"['APPROVE', 'REJECT']",ca2c9d5e74dfa2fc71d470b70dbec70e7fc6510fc4c2476cf9ef3c2d1153e098,APPROVE,ok
complex,C2,17.0,11011,U,2.0,68,"['APPROVE', 'REJECT']",58d7fc48a58ab1a5ad18ed2559cbad2b335108a740354c8962c38a9aed27c5f6,REJECT,ok
simple,S3,,11011,U,,386,"['ADOPT', 'WAIT']",,ADOPT,ok
complex,C3,2.0,neutral,B,6.0,203,"['CONTINUE', 'PIVOT']",21acfd3fbc93279c04367d70cf15b3433002ed420d661e420dcc005b6f685bd3,CONTINUE,ok
complex,C2,18.0,neutral,B,4.0,80,"['APPROVE', 'REJECT']",c42e7542644bd4f022422ccd9e1e68fd03519fb4e9bc06525fa82175837e6ceb,APPROVE,ok
complex,C2,11.0,00100,E,5.0,362,"['APPROVE', 'REJECT']",2f26943c8c726fdfe60088f2043904e50353a634f8bada697a518fb681a0503b,APPROVE,ok
simple,S1,,00100,U,,355,"['A', 'B']",,A,ok
simple,S1,,00100,E,,253,"['A', 'B']",,A,ok
simple,S2,,00100,E,,290,"['FORMAL_REPORT', 'LOCAL_CORRECTION']",,LOCAL_CORRECTION,ok
