problem,agent,config,arm,status,outcome,value
S2,3,11011,U,ok,LOCAL_CORRECTION,0.0
S2,24,11011,U,ok,LOCAL_CORRECTION,0.0
S3,6,11011,E,ok,WAIT,0.0
S2,20,00100,E,ok,LOCAL_CORRECTION,0.0
S1,18,00100,E,ok,A,1.0
S3,19,00100,U,ok,ADOPT,1.0
S2,5,00100,E,ok,LOCAL_CORRECTION,0.0
S3,41,00100,U,ok,ADOPT,1.0
S1,29,11011,E,ok,A,1.0
S2,29,11011,U,ok,LOCAL_CORRECTION,0.0
S2,2,11011,U,ok,LOCAL_CORRECTION,0.0
S1,23,11011,E,ok,A,1.0
S2,35,11011,E,ok,LOCAL_CORRECTION,0.0
S2,25,00100,E,ok,FORMAL_REPORT,1.0
S2,32,11011,E,ok,LOCAL_CORRECTION,0.0
